taskId;performed;employeeName;startTime; 
T1;1;Alin;651;
T2;1;Silviu;909;
T3;0;;;
T4;0;;;
T5;0;;;
T6;0;;;
T7;1;Silviu;996;
T8;1;Alin;599;
T9;0;;;
T10;1;Silviu;487;
T11;0;;;
T12;1;Alin;548;
T13;0;;;
T14;0;;;
T15;0;;;
T16;0;;;
T17;1;Alin;937;
T18;0;;;
T19;0;;;
T20;1;Radu;803;
T21;1;Anca;947;
T22;0;;;
T23;0;;;
T24;0;;;
T25;1;Silviu;547;
T26;1;Ovidiu;780;
T27;1;Silviu;831;
T28;0;;;
T29;1;Radu;703;
T30;1;Viorel;780;
T31;0;;;
T32;1;Silviu;780;
T33;0;;;
T34;1;Anca;898;
T35;1;Alin;881;
T36;1;Mitica;604;
T37;0;;;
T38;1;Ovidiu;640;
T39;1;Cosmin;843;
T40;1;Viorel;656;
T41;0;;;
T42;0;;;
T43;1;Silviu;657;
T44;1;Viorel;832;
T45;0;;;
T46;1;Alin;834;
T47;1;Silviu;604;
T48;0;;;
T49;0;;;
T50;0;;;
T51;1;Radu;617;
T52;1;Cornel;943;
T53;1;Cornel;886;
T54;1;Anca;842;
T55;1;Ovidiu;584;
T56;1;Anca;1014;
T57;1;Radu;880;
T58;0;;;
T59;1;Alin;780;
T60;0;;;
T61;1;Ovidiu;856;
T62;1;Cosmin;905;
T63;1;Radu;567;
T64;1;Cosmin;780;
T65;1;Cosmin;951;
T66;0;;;
T67;0;;;
T68;1;Florin;780;
T69;0;;;
T70;0;;;
T71;1;Florin;539;
T72;1;Anca;483;
T73;1;Nicoleta;780;
T74;0;;;
T75;1;Mitica;696;
T76;1;Florin;487;
T77;0;;;
T78;1;Cosmin;1011;
T79;1;Viorica;970;
T80;1;Anca;780;
T81;1;Miruna;833;
T82;1;Ovidiu;921;
T83;1;Cosmin;589;
T84;1;Viorel;583;
T85;1;Cosmin;649;
T86;1;Viorica;920;
T87;1;Sanda;860;
T88;1;Mitica;891;
T89;0;;;
T90;1;Miruna;780;
T91;1;Camelia;780;
T92;0;;;
T93;1;Camelia;578;
T94;1;Mitica;796;
T95;1;Cornel;780;
T96;1;Radu;483;
T97;0;;;
T98;1;Viorica;607;
T99;1;Radu;945;
T100;1;Viorica;484;
T101;1;Costel;893;
T102;1;Florin;1004;
T103;1;Camelia;890;
T104;1;Cosmin;538;
T105;1;Viorica;657;
T106;1;Florin;906;
T107;0;;;
T108;1;Ovidiu;500;
T109;1;Petrica;561;
T110;1;Florin;850;
